"","inv_cogn1","inv_cogn2","inv_cognNews","inv_beh1","inv_beh_p1","inv_beh_p2","inv_beh_p3","inv_beh_p4","inv_beh_p5","inv_beh2","discourse1","discourse2","attitude","mean_involvement"
"1",3,2,3,1,0,0,0,0,0,1,3,1,2,2.66666666666667
"2",3,3,3,1,0,0,0,0,0,0,2,0,4,3
"3",3,3,3,1,0,1,0,0,0,2,3,1,7,3
"4",2,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.33333333333333
"5",2,2,3,1,-9,-9,-9,-9,-9,NA,2,NA,6,2.33333333333333
"6",2,1,3,0,0,0,0,0,0,0,2,0,NA,2
"7",NA,2,NA,NA,-9,-9,-9,-9,-9,NA,2,NA,NA,NA
"8",3,2,3,1,0,0,0,0,0,0,3,0,NA,2.66666666666667
"9",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"10",2,2,3,1,0,0,0,0,0,0,3,0,NA,2.33333333333333
"11",2,2,3,1,0,0,0,0,0,0,3,0,4,2.33333333333333
"12",3,3,3,1,0,0,0,0,0,0,3,0,9,3
"13",3,2,3,1,0,0,0,0,0,0,2,0,6,2.66666666666667
"14",3,3,3,1,0,0,0,0,0,0,3,0,NA,3
"15",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"16",3,3,3,1,0,0,0,0,0,0,3,0,6,3
"17",3,3,3,NA,0,1,0,0,0,2,3,1,4,3
"18",3,3,3,NA,0,0,0,0,0,0,3,0,8,3
"19",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"20",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"21",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"22",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"23",2,2,3,1,0,0,0,0,0,0,3,0,8,2.33333333333333
"24",3,2,3,1,0,0,0,0,0,0,3,0,10,2.66666666666667
"25",3,3,3,NA,0,0,0,0,1,2,3,1,5,3
"26",2,2,3,1,0,1,0,0,0,1,1,0,6,2.33333333333333
"27",2,1,3,1,0,0,0,0,0,0,3,0,5,2
"28",2,2,3,1,0,0,0,0,0,0,2,0,NA,2.33333333333333
"29",3,2,3,0,0,1,0,0,0,1,3,0,8,2.66666666666667
