"","inv1","inv2","attitude","abortion_attitude","abortion_importance"
"1",4,2,7,2,5
"2",2,1,5,4,5
"3",5,2,2,4,5
"4",4,1,9,1,4
"5",4,2,5,3,5
"6",5,3,5,4,2
"7",2,2,5,3,3
"8",2,1,10,4,2
"9",3,2,8,4,3
"10",4,2,5,4,3
"11",2,2,10,1,5
"12",2,2,5,2,4
"13",4,2,6,4,3
"14",5,3,5,4,3
"15",2,2,7,4,4
"16",4,3,10,3,3
"17",5,3,4,4,1
"18",4,3,3,4,3
"19",3,3,1,4,5
"20",4,2,4,2,5
"21",4,2,10,4,3
"22",4,3,2,3,4
"23",4,3,3,4,4
"24",5,3,5,2,5
"25",5,3,0,2,4
"26",4,2,2,4,5
"27",3,3,7,2,5
"28",2,1,5,4,3
"29",5,3,6,4,4
"30",3,2,7,4,3
"31",2,2,5,3,5
"32",4,1,0,4,1
"33",5,3,2,NA,4
"34",4,3,9,2,2
"35",4,3,4,4,5
"36",2,2,5,2,4
"37",3,3,9,1,3
"38",4,2,1,4,5
"39",5,3,0,4,5
"40",5,3,8,NA,NA
"41",2,1,7,NA,NA
"42",3,2,8,1,5
"43",5,3,9,2,5
"44",5,3,10,3,1
"45",3,2,6,NA,4
"46",4,2,10,4,1
"47",5,3,4,3,2
"48",4,2,4,4,3
"49",3,2,8,1,3
"50",5,3,5,4,4
"51",4,3,5,4,3
"52",5,3,5,4,4
"53",3,2,NA,1,3
"54",4,2,6,1,5
"55",4,3,6,3,1
"56",4,2,NA,NA,3
"57",5,3,5,2,5
"58",5,3,4,4,4
"59",3,2,5,2,2
"60",4,2,8,3,3
"61",4,1,4,4,3
"62",2,2,5,4,5
"63",5,3,2,3,4
"64",4,3,0,NA,5
"65",5,2,7,4,3
"66",5,3,5,4,3
"67",3,2,4,2,3
"68",5,3,0,4,4
"69",5,2,2,4,5
"70",4,2,5,4,4
"71",4,3,1,3,3
"72",3,3,5,4,4
"73",4,3,7,4,4
"74",4,3,5,4,2
"75",4,3,9,2,4
"76",2,2,5,1,3
"77",4,2,10,2,5
"78",5,3,1,4,2
"79",4,1,5,3,4
"80",2,2,7,4,3
"81",5,2,8,3,2
"82",5,3,10,2,5
"83",4,2,4,3,2
"84",4,3,6,3,3
"85",4,2,2,3,3
"86",3,3,10,4,4
"87",2,1,5,4,3
"88",3,2,2,4,5
"89",2,1,10,3,2
"90",2,2,7,4,3
"91",4,3,6,4,3
"92",3,1,7,NA,3
"93",5,3,10,1,5
"94",4,3,3,4,2
"95",5,3,8,4,3
"96",4,3,10,2,4
"97",5,3,4,3,4
"98",5,3,3,4,5
"99",5,3,4,4,4
"100",4,2,6,4,3
"101",3,2,7,3,3
"102",2,1,4,4,4
"103",4,3,1,4,2
"104",3,3,8,2,5
"105",5,3,10,1,5
"106",3,3,5,4,3
"107",4,2,9,2,4
"108",4,3,10,2,4
"109",4,2,7,NA,3
"110",5,2,5,4,3
"111",4,3,NA,2,5
"112",4,3,8,3,2
"113",4,2,5,2,4
"114",5,3,7,2,4
"115",4,2,4,1,4
"116",4,3,10,4,4
"117",4,2,5,2,4
"118",5,3,10,2,2
"119",3,2,7,4,3
"120",4,3,9,4,1
"121",5,3,9,2,4
"122",3,2,3,4,4
"123",5,3,NA,1,1
"124",3,2,5,2,3
"125",3,2,4,1,3
"126",2,2,6,2,3
"127",4,2,1,4,5
"128",5,3,8,1,4
"129",4,3,3,4,3
"130",2,1,6,4,1
"131",2,2,5,4,4
"132",4,2,8,2,4
"133",5,3,7,2,4
"134",4,3,9,NA,2
"135",4,3,1,4,4
"136",4,3,0,1,5
"137",4,3,6,3,4
"138",5,3,10,2,4
"139",4,2,6,4,2
"140",2,1,5,4,4
"141",5,2,7,2,3
"142",4,3,5,4,3
"143",4,1,5,3,3
"144",2,2,1,4,4
"145",5,3,10,4,5
"146",3,2,5,4,1
"147",5,3,1,4,4
"148",4,2,NA,2,4
"149",4,2,5,4,4
"150",4,2,4,4,3
"151",2,3,9,2,4
"152",1,1,NA,4,3
"153",4,3,10,2,5
"154",4,2,NA,4,3
"155",4,3,8,NA,4
"156",3,2,5,4,2
"157",4,3,7,2,5
"158",5,3,3,4,5
"159",4,3,10,3,5
"160",4,2,8,4,2
"161",4,2,10,1,4
"162",4,3,8,3,3
"163",3,2,1,2,2
"164",4,3,5,4,5
"165",5,3,NA,4,5
"166",5,3,2,4,4
"167",4,1,10,2,2
"168",5,3,2,4,5
"169",2,3,6,4,1
"170",2,2,5,3,4
"171",4,2,7,4,2
"172",4,3,2,4,2
"173",4,3,4,4,3
"174",2,2,5,4,4
"175",5,3,1,4,4
"176",5,3,6,NA,2
"177",4,2,NA,4,3
"178",5,3,0,4,5
"179",5,3,5,2,4
"180",3,1,8,1,5
"181",3,3,7,4,4
"182",5,3,7,2,3
"183",2,2,9,1,4
"184",4,3,5,4,3
"185",4,3,5,3,2
"186",3,3,NA,4,1
"187",3,1,9,4,4
"188",4,2,0,4,1
"189",5,3,9,4,4
"190",5,3,5,4,2
"191",2,2,7,3,3
"192",2,1,5,2,3
"193",2,1,10,2,5
"194",2,2,5,2,4
"195",3,1,0,4,3
"196",2,1,8,4,2
"197",4,1,8,2,4
"198",5,3,3,4,3
"199",2,1,10,2,5
"200",4,1,6,4,5
"201",4,3,4,4,4
"202",4,3,8,3,2
"203",3,2,6,3,4
"204",4,2,5,2,2
"205",2,2,10,4,5
"206",2,1,5,2,4
"207",3,2,0,4,3
"208",4,2,4,4,4
"209",4,3,5,1,4
"210",4,3,7,NA,5
"211",3,3,10,4,4
"212",5,3,2,4,5
"213",3,3,2,4,4
"214",4,3,8,3,1
"215",2,1,5,4,4
"216",2,3,NA,1,4
"217",3,3,NA,NA,3
"218",4,3,5,4,2
"219",3,1,5,4,2
"220",4,3,4,4,5
"221",4,2,7,2,3
"222",5,3,1,4,4
"223",2,1,8,2,4
"224",2,2,5,4,1
"225",3,1,7,2,3
"226",2,2,5,1,3
"227",5,3,5,4,2
"228",4,2,0,4,5
"229",5,3,4,NA,1
"230",5,3,6,NA,1
"231",5,3,10,2,3
"232",4,3,5,4,5
"233",2,2,3,4,2
"234",3,2,4,4,3
"235",5,3,7,NA,5
"236",4,3,7,2,2
"237",4,3,1,3,4
"238",2,2,5,4,4
"239",3,2,5,4,3
"240",3,2,NA,4,3
"241",5,3,10,2,5
"242",2,1,2,4,5
"243",2,2,NA,4,2
"244",3,2,5,2,5
"245",5,3,10,2,5
"246",2,2,4,1,3
"247",4,3,8,3,3
"248",4,3,1,4,5
"249",4,2,3,4,4
"250",4,3,5,4,2
"251",2,3,NA,3,5
"252",2,2,10,4,3
"253",3,3,1,3,3
"254",4,3,NA,3,5
"255",4,2,2,NA,2
"256",4,3,9,1,4
"257",4,3,6,2,3
"258",5,3,10,2,4
"259",4,3,1,4,3
"260",3,2,4,3,3
"261",2,1,10,4,3
"262",5,3,1,4,5
"263",2,2,8,2,4
"264",3,2,1,4,4
"265",4,3,5,4,1
"266",4,2,5,2,1
"267",5,3,9,3,4
"268",5,3,3,4,5
"269",4,3,7,4,2
"270",4,3,9,2,5
"271",3,2,4,4,4
"272",4,3,4,4,4
"273",2,2,10,2,3
"274",5,3,6,4,5
"275",4,3,10,1,5
"276",5,3,6,4,4
"277",5,2,4,4,1
"278",4,3,5,3,2
"279",2,2,10,1,5
"280",5,3,5,4,4
"281",4,3,10,1,5
"282",4,3,8,1,5
"283",4,2,8,1,4
"284",4,3,9,1,4
"285",4,3,2,4,2
"286",2,1,2,4,3
"287",2,1,4,4,5
"288",4,2,8,2,4
"289",4,3,NA,1,5
"290",4,3,3,4,5
"291",4,1,5,4,3
"292",4,2,9,1,4
"293",4,2,5,2,4
"294",4,3,4,3,4
"295",4,3,5,3,5
"296",5,1,6,2,4
"297",4,3,5,4,5
"298",2,2,3,4,4
"299",4,2,4,2,4
"300",3,1,NA,NA,NA
"301",5,3,10,1,5
"302",3,2,NA,2,4
"303",3,2,5,1,5
"304",4,2,6,4,4
"305",3,2,5,4,4
"306",5,3,2,4,5
"307",3,2,6,4,2
"308",2,2,5,2,3
"309",5,3,10,2,5
"310",2,2,10,4,5
"311",4,3,2,4,3
"312",5,3,5,4,3
"313",4,3,3,3,3
"314",3,2,6,1,2
"315",3,2,7,4,4
"316",5,3,7,2,5
"317",5,3,5,3,3
"318",3,2,8,4,3
"319",3,3,7,2,5
"320",3,3,5,4,4
"321",5,3,2,4,3
"322",1,3,1,1,4
"323",3,2,10,4,3
"324",4,3,10,2,5
"325",2,1,NA,NA,1
"326",4,2,1,3,3
"327",4,3,8,4,3
"328",5,3,8,3,3
"329",2,1,8,2,5
"330",4,3,5,4,3
"331",4,2,8,3,3
"332",5,3,4,4,5
"333",5,3,10,2,5
"334",2,1,5,4,1
"335",4,3,5,4,3
"336",2,3,NA,NA,NA
"337",4,3,4,4,4
"338",4,3,8,1,5
"339",2,1,5,2,2
"340",4,3,0,4,3
"341",4,2,2,4,5
"342",4,3,6,4,2
"343",3,2,7,3,4
"344",3,2,5,1,5
"345",4,3,5,3,3
"346",4,3,8,2,3
"347",4,3,NA,4,4
"348",4,3,2,4,4
"349",3,3,8,2,3
"350",5,3,8,2,5
"351",3,2,3,NA,4
"352",5,3,2,4,5
"353",4,3,5,4,2
"354",4,3,6,4,2
"355",2,3,5,3,3
"356",3,2,5,4,3
"357",5,3,8,3,4
"358",2,1,5,1,5
"359",4,3,5,2,5
"360",4,2,4,3,2
"361",5,2,6,2,5
"362",4,2,7,1,4
"363",2,1,5,2,2
"364",4,2,NA,NA,NA
"365",4,2,8,2,3
"366",4,2,9,2,2
"367",4,3,NA,4,3
"368",4,3,10,4,5
"369",2,2,10,3,3
"370",2,1,7,1,5
"371",4,3,4,NA,3
"372",5,3,5,4,5
"373",3,2,8,1,5
"374",5,3,2,4,4
"375",5,3,5,4,4
"376",4,2,5,2,3
"377",3,2,7,4,2
"378",5,2,5,4,5
"379",4,3,NA,2,2
"380",5,3,6,2,4
"381",3,1,4,4,1
"382",5,2,0,4,3
"383",3,3,8,2,5
"384",5,2,5,4,4
"385",3,2,6,4,4
"386",4,3,4,4,1
"387",5,3,4,4,3
"388",4,2,2,NA,3
"389",4,2,4,4,3
"390",2,2,7,4,3
"391",2,1,10,1,5
"392",5,3,10,3,4
"393",5,3,5,4,4
"394",3,2,5,4,3
"395",4,2,5,4,4
"396",5,3,3,4,3
"397",5,3,6,4,1
"398",3,3,0,4,4
"399",2,2,5,2,4
"400",2,1,8,3,4
"401",2,1,NA,1,4
"402",4,2,9,1,4
"403",5,3,5,4,1
"404",4,3,5,4,5
"405",4,3,4,4,5
"406",4,3,2,3,2
"407",2,3,3,3,3
"408",5,2,9,2,5
"409",4,3,7,2,2
"410",4,3,5,2,4
"411",4,3,5,4,5
"412",2,1,2,4,4
"413",3,3,6,3,3
"414",4,3,10,2,4
"415",3,3,NA,1,3
"416",3,1,7,NA,5
"417",3,2,5,4,3
"418",5,3,8,2,5
"419",5,3,10,1,5
"420",2,2,7,3,3
"421",4,3,3,4,4
"422",3,2,9,4,5
"423",2,1,6,3,3
"424",4,3,10,4,4
"425",3,1,10,2,3
"426",5,3,5,4,5
"427",4,1,NA,1,5
"428",5,1,7,2,4
"429",4,1,5,1,5
"430",3,2,5,2,3
"431",4,2,8,2,5
"432",4,3,1,3,3
"433",5,3,1,4,5
"434",4,3,5,2,3
"435",4,3,1,4,5
"436",4,3,NA,4,5
"437",3,3,5,4,5
"438",4,3,9,2,1
"439",3,2,NA,3,3
"440",4,3,5,4,4
"441",4,3,NA,2,4
"442",4,3,NA,2,3
"443",4,3,NA,2,4
"444",4,2,8,1,5
"445",5,3,5,1,5
"446",3,1,8,3,1
"447",2,2,9,1,4
"448",3,2,NA,4,3
"449",4,2,5,2,4
"450",5,3,5,2,5
"451",5,3,10,1,5
"452",5,3,4,3,2
"453",3,2,3,1,5
"454",5,3,10,2,5
"455",4,2,0,4,5
"456",2,1,3,4,4
"457",4,3,6,2,3
"458",3,2,5,1,4
"459",3,2,5,4,5
"460",5,3,NA,4,3
"461",2,3,8,2,2
"462",2,3,6,NA,4
"463",4,3,5,2,2
"464",4,3,7,2,1
"465",5,3,9,2,4
"466",4,3,10,2,3
"467",4,3,10,2,5
"468",3,2,5,4,5
"469",5,3,10,2,5
"470",5,3,9,2,5
"471",3,1,0,4,3
"472",3,3,3,2,3
"473",2,1,10,NA,5
"474",2,2,10,2,5
"475",3,3,5,1,5
"476",4,2,10,2,5
"477",5,3,7,2,3
"478",4,3,5,4,3
"479",5,3,3,NA,4
"480",3,2,4,3,2
"481",5,3,5,4,5
"482",3,3,7,4,4
"483",4,2,5,2,1
"484",4,2,4,4,3
"485",4,2,0,3,4
"486",4,3,5,3,4
"487",3,1,3,4,5
"488",4,3,5,4,5
"489",2,3,NA,4,1
"490",4,3,8,4,4
"491",5,2,10,2,5
"492",5,3,3,4,3
"493",4,3,3,4,5
"494",5,1,5,4,3
"495",5,2,5,4,4
"496",3,2,0,2,3
"497",4,3,6,2,4
"498",5,3,0,4,3
"499",3,2,6,2,4
"500",4,3,9,2,5
"501",5,3,0,2,3
"502",5,3,3,4,5
"503",3,2,8,4,2
"504",2,2,7,4,4
"505",4,3,NA,1,5
"506",5,3,9,3,3
"507",5,3,10,3,3
"508",4,3,5,1,4
"509",2,2,1,3,3
"510",4,3,5,4,3
"511",2,3,NA,1,4
"512",4,3,1,4,5
"513",2,2,4,3,3
"514",5,3,9,2,2
"515",3,1,5,4,3
"516",2,2,5,2,3
"517",4,3,4,4,4
"518",3,1,4,4,3
"519",4,2,4,3,4
"520",2,2,5,1,5
"521",4,2,3,4,4
"522",4,1,9,3,3
"523",4,3,5,4,2
"524",3,2,5,4,5
"525",4,3,8,4,2
"526",4,2,6,4,3
"527",5,3,7,3,2
"528",5,3,8,4,5
"529",4,2,10,4,3
"530",4,3,10,1,5
"531",2,2,6,2,3
"532",5,3,8,2,4
"533",4,2,9,4,5
"534",3,3,4,4,1
"535",4,3,10,4,3
"536",3,2,7,2,3
"537",3,1,3,4,2
"538",3,1,5,NA,NA
"539",5,3,8,3,3
"540",4,3,8,3,2
"541",2,1,5,2,3
"542",4,2,7,3,3
"543",4,2,5,4,5
"544",4,3,1,4,5
"545",5,3,7,2,4
"546",4,2,7,2,3
"547",4,3,8,2,5
"548",5,3,9,1,4
"549",4,3,7,NA,3
"550",4,2,5,4,2
"551",4,3,8,2,5
"552",4,3,3,2,2
"553",5,3,10,2,4
"554",4,3,3,4,4
"555",4,3,10,2,5
"556",5,3,2,4,5
"557",4,3,3,4,2
"558",5,3,9,2,4
"559",5,3,10,2,5
"560",3,2,6,3,5
"561",5,3,7,3,2
"562",4,2,6,3,3
"563",3,2,0,4,1
"564",5,3,0,4,5
"565",3,2,6,4,5
"566",3,2,6,NA,2
"567",4,2,4,4,3
"568",4,2,8,4,3
"569",5,3,10,2,NA
"570",5,3,8,3,3
"571",2,2,10,1,4
"572",3,2,5,4,3
"573",4,3,0,4,4
"574",4,2,7,4,2
"575",5,3,2,4,4
"576",4,1,5,2,2
"577",3,3,7,2,2
"578",5,3,1,4,5
"579",5,3,2,2,4
"580",4,3,2,4,5
"581",2,2,4,4,3
"582",2,1,6,2,4
"583",5,3,2,4,4
"584",5,3,5,4,3
"585",3,2,5,4,3
"586",2,1,5,2,5
"587",4,3,7,4,3
"588",5,3,2,4,2
"589",3,1,5,2,4
"590",3,3,8,2,1
"591",5,3,8,2,2
"592",4,3,3,3,4
"593",5,3,0,4,3
"594",5,3,7,1,4
"595",4,3,10,4,2
"596",4,2,8,3,2
"597",2,1,4,4,1
"598",4,2,4,3,3
"599",3,1,8,3,3
"600",3,2,5,4,4
"601",3,3,5,4,5
"602",2,3,10,1,5
"603",3,2,7,4,3
"604",3,2,5,2,3
"605",2,1,9,4,3
"606",4,3,5,4,3
"607",4,3,4,1,4
"608",3,2,0,2,5
"609",5,3,6,2,5
"610",4,3,3,4,4
"611",5,3,0,4,3
"612",3,3,5,4,4
"613",4,1,3,3,3
"614",4,3,9,2,4
"615",5,3,1,4,5
"616",5,1,5,3,2
"617",4,3,5,2,5
"618",5,3,9,2,4
"619",3,1,5,4,4
"620",4,3,10,2,5
"621",2,1,5,1,3
