"","involvement","attitude"
"1",2,2
"2",1,1
"3",2,1
"4",3,2
"5",2,1
"6",2,1
"7",2,1
"8",1,2
"9",1,2
"10",1,1
"11",2,1
"12",1,2
"13",2,2
"14",2,2
"15",3,1
"16",1,2
"17",3,1
"18",2,1
"19",2,0
"20",1,1
"21",1,1
"22",1,0
"23",2,1
"24",3,2
"25",3,2
"26",2,2
"27",3,2
"28",2,1
"29",2,2
"30",3,1
"31",2,1
"32",2,1
"33",2,2
"34",2,1
"35",3,0
"36",2,2
"37",1,0
"38",3,-1
"39",3,2
"40",1,2
"41",3,1
"42",2,1
"43",1,1
"44",1,2
"45",1,1
"46",2,1
"47",2,1
"48",2,1
"49",2,0
"50",2,0
"51",2,0
"52",2,1
"53",2,1
"54",3,1
"55",2,1
"56",2,1
"57",2,1
"58",2,0
"59",2,1
"60",2,1
"61",3,1
"62",1,2
"63",3,2
"64",1,2
"65",2,2
"66",1,2
"67",1,2
"68",3,2
"69",2,0
"70",2,2
"71",2,-2
"72",1,0
"73",2,0
"74",1,0
"75",2,1
"76",2,0
"77",1,1
"78",1,0
"79",1,0
"80",2,1
"81",2,1
"82",2,0
"83",2,0
"84",1,0
"85",2,0
"86",3,1
"87",1,0
"88",2,1
"89",2,0
"90",1,1
"91",3,1
"92",2,2
"93",2,2
"94",1,2
"95",1,-1
"96",2,2
"97",2,1
"98",2,1
"99",2,1
"100",2,1
"101",2,1
"102",NA,1
"103",2,1
"104",2,1
"105",1,1
"106",2,1
"107",2,1
"108",2,1
"109",2,1
"110",2,1
"111",1,1
"112",2,2
"113",1,1
"114",3,2
"115",2,1
"116",2,1
"117",2,1
"118",2,1
"119",2,0
"120",1,1
"121",2,1
"122",3,1
"123",1,0
"124",3,1
"125",2,1
"126",3,2
"127",1,1
"128",1,1
"129",2,-1
"130",2,2
"131",1,1
"132",1,0
"133",2,1
"134",2,1
"135",2,0
"136",2,0
"137",1,2
"138",2,0
"139",2,1
"140",1,-1
"141",2,1
"142",2,1
"143",1,0
"144",2,0
"145",2,-1
"146",3,1
"147",1,2
"148",2,0
"149",2,-1
"150",2,0
"151",NA,0
"152",2,0
"153",2,0
"154",1,0
"155",3,1
"156",2,0
"157",1,0
"158",3,1
"159",1,-1
"160",2,0
"161",NA,0
"162",1,0
"163",NA,0
"164",1,0
"165",2,0
"166",2,0
"167",2,-1
"168",2,-1
"169",2,0
"170",3,0
"171",1,0
"172",3,0
"173",2,1
"174",2,1
"175",2,0
"176",2,0
"177",2,0
"178",2,1
"179",3,0
"180",2,0
"181",3,1
"182",2,0
"183",3,1
"184",1,0
"185",2,-1
"186",1,0
"187",1,1
"188",1,1
"189",1,1
"190",1,1
"191",1,0
"192",2,-1
"193",3,0
"194",1,-1
"195",2,1
"196",2,0
"197",1,0
"198",2,0
"199",2,1
"200",1,0
"201",2,0
"202",1,1
"203",1,1
"204",3,1
"205",2,0
"206",2,0
"207",2,0
"208",2,0
"209",2,0
"210",2,0
"211",2,0
"212",3,1
"213",2,0
"214",2,1
"215",2,0
"216",2,1
"217",3,-1
"218",1,0
"219",NA,1
"220",1,1
"221",3,1
"222",1,0
"223",2,2
"224",3,1
"225",3,1
"226",2,1
"227",1,0
"228",2,0
"229",3,-1
"230",2,0
"231",2,1
"232",3,1
"233",2,1
"234",2,0
"235",2,-1
"236",2,0
"237",3,1
"238",2,-1
"239",2,1
"240",3,1
"241",2,0
"242",1,1
"243",1,0
"244",2,0
"245",2,1
"246",2,1
"247",2,2
"248",2,1
"249",1,0
"250",1,1
"251",1,1
"252",1,1
"253",1,1
"254",1,0
"255",1,1
"256",1,0
"257",2,1
"258",2,0
"259",3,1
"260",1,1
"261",NA,1
"262",2,1
"263",2,1
"264",2,2
"265",2,0
"266",NA,1
"267",2,1
"268",2,2
"269",2,0
"270",2,0
"271",2,1
"272",2,1
"273",2,2
"274",1,2
"275",2,2
"276",1,1
"277",1,1
"278",2,2
"279",1,2
"280",1,1
"281",1,2
"282",1,2
"283",1,1
"284",2,0
"285",2,1
"286",2,1
"287",2,1
"288",3,0
"289",2,1
"290",3,0
"291",2,0
"292",1,0
"293",1,1
"294",2,-1
"295",1,0
"296",2,0
"297",2,1
"298",2,1
"299",2,1
"300",2,0
"301",2,0
"302",2,1
"303",2,1
"304",2,1
"305",2,1
"306",1,1
"307",2,-1
"308",1,NA
"309",1,1
"310",3,2
"311",1,0
"312",3,1
"313",2,1
"314",3,1
"315",1,1
"316",2,1
"317",1,1
"318",2,1
"319",2,1
"320",1,1
"321",1,1
"322",1,1
"323",3,1
"324",2,0
"325",3,0
"326",2,1
"327",2,1
"328",2,1
"329",3,-1
"330",3,-1
"331",2,1
"332",2,0
"333",3,0
"334",2,-1
"335",2,1
"336",1,-1
"337",3,0
"338",3,0
"339",2,1
"340",2,0
"341",2,1
"342",2,1
"343",NA,0
"344",2,1
"345",2,1
"346",2,1
"347",2,1
"348",2,1
"349",2,1
"350",2,0
"351",2,0
"352",2,0
"353",2,0
"354",1,1
"355",1,1
"356",1,-1
"357",2,1
"358",1,-1
"359",2,1
"360",3,0
"361",2,1
"362",2,1
"363",3,1
"364",2,-2
"365",2,1
"366",3,1
"367",3,0
"368",3,-1
"369",2,1
"370",2,2
"371",3,-1
"372",2,0
"373",2,0
"374",2,1
"375",1,-1
"376",1,0
"377",2,-1
"378",2,1
"379",3,2
"380",2,1
"381",2,-2
"382",2,0
"383",2,1
"384",2,-1
"385",2,1
"386",1,0
"387",2,-1
"388",2,0
"389",3,0
"390",3,1
"391",2,0
"392",1,0
"393",1,0
"394",2,1
"395",2,0
"396",1,0
"397",2,-1
"398",1,NA
"399",1,0
"400",2,1
"401",1,0
"402",2,-1
"403",2,1
"404",2,1
"405",2,-1
"406",1,0
"407",1,0
"408",2,0
"409",1,0
"410",2,0
"411",3,1
"412",2,0
"413",2,-1
"414",1,-1
"415",1,-2
"416",3,-1
"417",1,-1
"418",2,2
"419",1,-1
"420",2,2
"421",2,1
"422",2,1
