"","X","detection_method","distribution","N","true_modes","multimodality_predicted","result","accuracy","accuracy_multimodality"
"1",1,"silverman","uniform_300",300,1,FALSE,1,1,1
"2",2,"silverman","uniform_30000",30000,1,TRUE,2,0,0
"3",3,"silverman","unimodal_normal_300",300,1,FALSE,1,1,1
"4",4,"silverman","unimodal_normal_500",500,1,FALSE,1,1,1
"5",5,"silverman","unimodal_normal_20000",20000,1,TRUE,10,0,0
"6",6,"silverman","unimodal_normal_30000",30000,1,TRUE,10,0,0
"7",7,"silverman","unimodal_trunc_right_300",300,1,FALSE,1,1,1
"8",8,"silverman","unimodal_trunc_right_500",500,1,FALSE,1,1,1
"9",9,"silverman","unimodal_truc_right_20000",20000,1,TRUE,9,0,0
"10",10,"silverman","unimodal_trunc_right_30000",30000,1,TRUE,9,0,0
"11",11,"silverman","unimodal_trunc_left_300",300,1,FALSE,1,1,1
"12",12,"silverman","unimodal_trunc_left_500",500,1,FALSE,1,1,1
"13",13,"silverman","unimodal_trunc_left_20000",20000,1,TRUE,9,0,0
"14",14,"silverman","unimodal_trunc_left_30000",30000,1,TRUE,9,0,0
"15",15,"silverman","bimodal_normal_smalldiv_300",300,2,TRUE,2,1,1
"16",16,"silverman","bimodal_normal_smalldiv_500",500,2,TRUE,2,1,1
"17",17,"silverman","bimodal_normal_smalldiv_20000",20000,2,TRUE,172,1,1
"18",18,"silverman","bimodal_normal_smalldiv_30000",30000,2,TRUE,10,1,1
"19",19,"silverman","bimodal_normal_largediv_300",300,2,TRUE,2,1,1
"20",20,"silverman","bimodal_normal_largediv_500",500,2,TRUE,10,1,1
"21",21,"silverman","bimodal_normal_largediv_20000",20000,2,TRUE,147,1,1
"22",22,"silverman","bimodal_normal_largediv_30000",30000,2,TRUE,10,1,1
"23",23,"silverman","bimodal_trunc_300",300,2,TRUE,2,1,1
"24",24,"silverman","bimodal_trunc_500",500,2,TRUE,2,1,1
"25",25,"silverman","bimodal_trunc_20000",20000,2,TRUE,156,1,1
"26",26,"silverman","bimodal_trunc_30000",30000,2,TRUE,160,1,1
